,game_str,play_id,at_bat,timestamp,player_position,event_code,Season,HomeTeam,AwayTeam,Day,inning,top_bottom,pitcher,pitcher_hand,first_baserunner,second_baserunner,third_baserunner,field_x_1b,field_y_1b,field_x_runner,field_y_runner,distance_from_1b,distance_to_baseline,lead_distance,pitch_label,group_number
9,1884_008_Vis1AK_Home1A,93,47.0,3335076,1,6,Season_1884,Home1A,Vis1AK,day_008,6.0,top,473.0,Right,4794.0,,,61.0509,62.2176,56.0925,72.9444,11.342817798501393,1.8996711275942182,11.182609946563678,before,2
10,1884_008_Vis1AK_Home1A,94,47.0,3350376,1,1,Season_1884,Home1A,Vis1AK,day_008,6.0,top,473.0,Right,4794.0,,,52.4058,76.2477,59.5164,64.3551,3.1459518384743266,1.6810953924280814,2.6591222708926097,pickoff,2
11,1884_009.5_Vis1AK_Home1A,12,7.0,309948,1,1,Season_1884,Home1A,Vis1AK,day_009.5,1.0,bottom,5991.0,Left,626.0,,,59.5971,63.0591,54.477,74.376,13.45066187962511,1.7514795004869976,13.336139792285245,after,2
21,1884_009.5_Vis1AK_Home1A,78,21.0,2320448,1,6,Season_1884,Home1A,Vis1AK,day_009.5,3.0,top,523.0,Right,2712.0,,,60.6891,61.9053,56.9277,70.9221,9.218322824679117,1.0773238607261868,9.155154231311998,before,4
22,1884_009.5_Vis1AK_Home1A,79,21.0,2333548,1,1,Season_1884,Home1A,Vis1AK,day_009.5,3.0,top,523.0,Right,2712.0,,,59.8857,63.8232,54.2448,73.5795,12.971862599102717,1.0274675569203837,12.931107056608726,pickoff,4
23,1884_009.5_Vis1AK_Home1A,80,21.0,2352298,1,1,Season_1884,Home1A,Vis1AK,day_009.5,3.0,top,523.0,Right,2712.0,,,59.3433,64.269,55.293,75.5205,13.937239656761305,3.1357554005119748,13.579900121803545,after,4
24,1884_009.5_Vis1AK_Home1A,81,21.0,2368348,1,6,Season_1884,Home1A,Vis1AK,day_009.5,3.0,top,523.0,Right,2712.0,,,60.0708,61.2183,59.0217,71.2365,8.388582188904158,2.790864941692314,7.910713243269082,before,5
25,1884_009.5_Vis1AK_Home1A,82,21.0,2382248,1,1,Season_1884,Home1A,Vis1AK,day_009.5,3.0,top,523.0,Right,2712.0,,,57.5301,66.9708,53.3871,76.5621,15.85843872580148,2.507058977125114,15.659014467878126,pickoff,5
26,1884_009.5_Vis1AK_Home1A,110,37.0,4513553,1,1,Season_1884,Home1A,Vis1AK,day_009.5,4.0,bottom,5668.0,Right,753.0,,,58.8516,64.4124,52.7361,74.4699,14.635200757762082,0.5759814343245914,14.623862232916213,after,5
33,1884_009.5_Vis1AK_Home1A,174,50.0,6319203,1,6,Season_1884,Home1A,Vis1AK,day_009.5,6.0,top,504.0,Right,8466.0,,,60.6672,62.0055,59.1741,69.4629,6.745837177104115,1.6560222134127933,6.539412026220966,before,8
34,1884_009.5_Vis1AK_Home1A,175,50.0,6332803,1,1,Season_1884,Home1A,Vis1AK,day_009.5,6.0,top,504.0,Right,8466.0,,,60.0348,62.697,57.1818,71.3094,9.37871311001674,1.530052231510094,9.25306434479145,pickoff,8
38,1884_009_Vis1AK_Home1A,85,23.0,2741078,1,1,Season_1884,Home1A,Vis1AK,day_009,3.0,bottom,6294.0,Left,963.0,,,60.015,63.1365,55.2702,74.0181,12.694019680542487,2.0661321744649332,12.5247448472071,after,8
45,1884_017.5_Vis1AL_Home1A,19,6.0,575517,1,6,Season_1884,Home1A,Vis1AL,day_017.5,1.0,bottom,8231.0,Right,753.0,,,60.477,61.9254,56.364,70.3848,9.172294317126985,0.2986696134770089,9.167430365265147,before,10
46,1884_017.5_Vis1AL_Home1A,20,6.0,592974,1,1,Season_1884,Home1A,Vis1AL,day_017.5,1.0,bottom,8231.0,Right,753.0,,,59.3442,64.6866,52.6338,74.7135,14.884532128689832,0.6738306696540154,14.869271970027096,pickoff,10
47,1884_017.5_Vis1AL_Home1A,21,6.0,617262,1,1,Season_1884,Home1A,Vis1AL,day_017.5,1.0,bottom,8231.0,Right,753.0,,,59.2353,64.5606,52.266,74.4222,14.920939408763783,0.2073372382241877,14.919498788821482,after,10
48,1884_017.5_Vis1AL_Home1A,22,6.0,638481,1,6,Season_1884,Home1A,Vis1AL,day_017.5,1.0,bottom,8231.0,Right,753.0,,,60.462,61.9605,56.4063,70.0023,8.865293733430383,0.06065204212329759,8.865086255067476,before,11
49,1884_017.5_Vis1AL_Home1A,23,6.0,656730,1,1,Season_1884,Home1A,Vis1AL,day_017.5,1.0,bottom,8231.0,Right,753.0,,,59.2683,64.4562,48.8568,77.4369,19.459719110254387,0.10988995621134334,19.45940883088496,pickoff,11
53,1884_017.5_Vis1AL_Home1A,156,38.0,5362799,1,1,Season_1884,Home1A,Vis1AL,day_017.5,4.0,bottom,7467.0,Right,753.0,,,59.3316,64.7931,52.5069,74.784,15.021853401295063,0.6327748508111029,15.008520100202453,after,11
57,1884_017.5_Vis1AL_Home1A,163,40.0,5560535,1,6,Season_1884,Home1A,Vis1AL,day_017.5,4.0,bottom,7467.0,Right,626.0,,,61.7604,60.7578,56.1795,72.8286,11.198069932358875,1.8805157699085224,11.039041201532191,before,13
58,1884_017.5_Vis1AL_Home1A,164,40.0,5577662,1,1,Season_1884,Home1A,Vis1AL,day_017.5,4.0,bottom,7467.0,Right,626.0,,,60.306,64.323,52.9479,75.945,15.626591932024072,1.7612288140269914,15.527023168484064,pickoff,13
59,1884_017_Vis1AL_Home1A,4,3.0,127881,1,1,Season_1884,Home1A,Vis1AL,day_017,1.0,top,402.0,Right,4997.0,,,59.2566,64.9068,52.0173,76.1313,16.35858205896831,1.2282917211274993,16.312403453440254,after,13
